game_id,team_id,player_id,Fg2PtAtt,Fg2PtMade,Fg3PtAtt,Fg3PtMade,FgAtt,FgMade,FtAtt,FtMade,OffReb,DefReb,Reb,Ast,Pts,Tov,Stl,Blk,BlkAgainst,FoulPers,PlusMinus,MinSeconds
32113,86,9157,9,6,7,3,16,9,7,6,0,2,2,5,27,7,4,1,1,4,2,2244
32132,86,9157,12,8,10,3,22,11,6,5,0,1,1,4,30,2,1,0,1,0,8,2325
32134,86,9157,13,9,7,2,20,11,2,2,1,1,2,9,26,2,0,1,2,2,19,2226
32159,86,9157,10,5,7,2,17,7,1,1,0,2,2,5,17,2,1,0,2,3,11,1871
32169,86,9157,13,6,10,1,23,7,0,0,2,2,4,3,15,0,2,1,0,2,-17,2021
32179,86,9157,18,10,10,3,28,13,4,4,1,4,5,1,33,4,1,1,2,2,5,2311
32199,86,9157,14,7,3,2,17,9,6,6,0,1,1,5,26,5,0,0,1,1,7,2382
32208,86,9157,6,4,2,1,8,5,3,3,0,0,0,4,14,4,3,0,1,0,-21,1645
32221,86,9157,11,4,1,0,12,4,0,0,1,1,2,3,8,2,0,0,2,1,6,1436
32232,86,9157,6,4,4,1,10,5,5,5,1,7,8,8,16,2,1,0,0,2,10,2300
32242,86,9157,14,5,8,1,22,6,0,0,1,4,5,4,13,0,0,0,1,3,-3,2177
32261,86,9157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32281,86,9157,12,4,11,5,23,9,9,8,0,2,2,8,31,5,1,1,3,3,-10,2232
32296,86,9157,9,4,5,0,14,4,2,2,0,2,2,3,10,1,1,1,0,2,4,1459
32302,86,9157,16,3,7,2,23,5,10,8,2,4,6,7,20,1,2,2,5,2,-13,2499
32318,86,9157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32334,86,9157,5,2,4,3,9,5,3,2,0,3,3,6,15,3,0,0,1,2,16,1614
32341,86,9157,13,10,5,1,18,11,4,3,0,2,2,6,26,4,3,1,0,2,-12,1813
32363,86,9157,15,4,2,1,17,5,0,0,2,2,4,8,11,4,2,0,3,2,4,2315
32379,86,9157,20,10,8,4,28,14,3,3,2,2,4,5,35,6,2,1,2,2,11,2413
32395,86,9157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31177,86,9158,17,11,5,1,22,12,3,0,0,10,10,5,25,1,1,0,2,3,1,2164
31184,86,9158,10,4,3,0,13,4,8,4,1,6,7,5,12,3,3,0,0,1,10,1848
31198,86,9158,17,13,2,0,19,13,5,3,2,3,5,4,29,4,1,0,0,3,7,2036
31227,86,9158,16,9,3,0,19,9,4,4,0,9,9,11,22,3,4,2,1,3,21,2000
31236,86,9158,18,8,5,1,23,9,7,4,2,3,5,3,23,3,4,1,4,1,14,2104
31252,86,9158,17,9,5,3,22,12,6,4,0,4,4,13,31,2,2,0,1,1,24,2180
31269,86,9158,20,10,3,0,23,10,14,9,0,6,6,4,29,2,0,0,1,0,1,2101
31281,86,9158,16,10,3,1,19,11,12,8,3,4,7,8,31,5,2,0,0,2,4,2271
31308,86,9158,19,12,2,0,21,12,10,7,0,3,3,6,31,3,2,1,0,4,17,2363
31316,86,9158,16,8,11,5,27,13,12,6,4,8,12,5,37,7,1,3,3,3,-2,2703
31334,86,9158,14,7,7,4,21,11,5,4,0,6,6,3,30,4,0,0,1,3,-6,2388
31350,86,9158,12,8,1,1,13,9,9,8,3,6,9,6,27,4,0,0,0,3,13,2099
31364,86,9158,13,7,2,1,15,8,2,2,2,9,11,8,19,3,0,2,1,1,17,2000
31378,86,9158,12,7,2,0,14,7,5,1,0,6,6,13,15,2,1,0,1,0,29,2098
31401,86,9158,11,5,5,1,16,6,12,11,2,4,6,8,24,2,0,0,0,1,13,2386
31403,86,9158,15,6,5,2,20,8,9,7,2,11,13,5,25,3,0,0,4,2,1,2293
31414,86,9158,16,9,6,1,22,10,6,5,2,7,9,5,26,2,1,0,0,0,-1,2143
31438,86,9158,17,8,3,0,20,8,8,8,4,9,13,4,24,9,1,1,1,3,-12,2243
31461,86,9158,24,12,5,1,29,13,11,10,2,5,7,8,37,5,1,1,0,4,-4,2687
31467,86,9158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31489,86,9158,21,13,3,1,24,14,4,4,1,9,10,3,33,2,2,3,1,3,7,2420
